subject,session,data_source,structured_data,channel,signal,stimulus,block,mean_baseline,std_baseline,mean_task,std_task,task_minus_baseline,area_under_curve_task,time_to_peak,time_to_nadir
109,1,1,1,6,2,1,1,0.46959,0.51484,-0.72708,1.6856,-1.1967,-39.638,52,4
109,1,1,1,7,1,1,1,-3.9583,2.7132,2.0772,5.9177,6.0355,109.32,5,34
109,1,1,1,7,2,1,1,-2.2873,0.80627,1.0141,3.4112,3.3014,51.903,5,31
109,1,1,1,8,1,1,1,0.64026,1.0996,-0.18368,1.635,-0.82394,-10.724,31,5
109,1,1,1,8,2,1,1,0.96698,0.33907,-0.75812,1.5064,-1.7251,-40.373,34,5
109,1,1,1,9,1,1,1,-4.0336,1.8336,2.5711,5.23,6.6047,133.63,5,38
109,1,1,1,9,2,1,1,-2.2817,0.81807,0.86258,2.3845,3.1443,44.073,5,36
109,1,1,1,11,1,1,1,0.085606,1.2038,0.30356,1.3397,0.21796,15.261,18,39
109,1,1,1,11,2,1,1,0.34818,0.32085,-0.23439,0.4264,-0.58257,-12.839,1,5
109,1,1,1,12,1,1,1,-3.2613,2.4927,2.4404,5.4207,5.7017,126.09,5,38
109,1,1,1,12,2,1,1,-1.7512,0.55397,1.1227,2.444,2.8739,58.326,5,41
109,1,1,1,13,1,1,1,-1.0442,1.4098,0.39586,1.2609,1.4401,20.949,28,39
109,1,1,1,13,2,1,1,-0.47811,0.61232,0.16038,0.8313,0.63849,7.5774,30,5
109,1,1,1,14,1,1,1,-2.671,2.6259,2.3779,5.8181,5.0489,125.29,19,39
109,1,1,1,14,2,1,1,-0.90833,0.83826,0.73231,1.5925,1.6406,37.794,26,43
109,1,1,1,15,1,1,1,-0.8045,1.3171,-0.19775,1.9855,0.60675,-8.0172,42,7
109,1,1,1,15,2,1,1,-0.44255,0.34823,0.07442,0.50709,0.51697,2.5407,52,35
109,1,1,1,16,1,1,1,0.15994,2.8976,-0.61964,2.7569,-0.77958,-34.221,43,30
109,1,1,1,16,2,1,1,0.15915,0.39038,-0.54085,1.3288,-0.7,-30.047,52,21
109,1,1,1,18,1,1,1,-0.40782,1.4529,-0.30697,1.5427,0.10085,-14.806,43,7
109,1,1,1,18,2,1,1,0.068052,0.36079,-0.42284,1.1096,-0.49089,-23.681,52,21
109,1,1,1,19,1,1,1,0.22445,2.4615,0.41147,3.3863,0.18702,20.755,5,31
109,1,1,1,19,2,1,1,0.80064,0.87685,-0.56891,1.3186,-1.3696,-30.643,1,31
109,1,1,1,20,1,1,1,-0.33375,1.5815,-0.10377,2.8755,0.22998,-2.1288,35,9
109,1,1,1,20,2,1,1,0.38927,0.43929,0.062408,0.90628,-0.32686,2.596,31,41
109,1,1,1,21,1,1,1,2.9443,2.3187,-1.3139,2.4823,-4.2582,-69.646,46,26
109,1,1,1,21,2,1,1,1.8618,1.087,-1.4649,2.3955,-3.3267,-77.792,1,22
109,1,1,1,22,1,1,1,0.094272,2.3224,0.20308,2.902,0.10881,8.6553,5,31
109,1,1,1,22,2,1,1,0.2612,0.82522,-0.43099,1.2707,-0.69219,-23.678,2,31
109,1,1,1,23,1,1,1,1.9027,2.077,-1.4012,3.4024,-3.3039,-75.263,48,25
109,1,1,1,23,2,1,1,1.2138,0.58668,-1.1371,2.2437,-2.3509,-61.1,1,17
109,1,1,1,24,1,1,1,0.63911,1.9232,0.0062321,1.7888,-0.63288,-1.7725,2,39
109,1,1,1,24,2,1,1,0.28556,0.36442,-0.38177,0.81994,-0.66733,-20.952,1,31
112,1,1,1,1,1,1,1,-0.18377,6.0703,1.1201,3.6721,1.3039,56.728,23,38
112,1,1,1,1,2,1,1,-0.49528,0.94393,0.05052,0.89278,0.5458,3.9643,34,1
112,1,1,1,2,1,1,1,1.6289,5.0484,-0.27422,3.548,-1.9032,-15.666,6,36
112,1,1,1,2,2,1,1,-1.4911,0.74487,0.15234,0.91949,1.6435,7.118,52,17
112,1,1,1,3,1,1,1,-0.3857,4.5258,1.2648,3.2943,1.6505,61.361,2,39
112,1,1,1,3,2,1,1,-0.3444,0.66058,0.035337,0.63494,0.37974,1.993,35,48
112,1,1,1,4,1,1,1,-0.022447,4.9683,1.2381,3.3031,1.2605,61.727,23,39
112,1,1,1,4,2,1,1,-0.37742,0.49184,-0.14176,0.81975,0.23566,-8.6006,52,31
112,1,1,1,5,1,1,1,1.4413,3.2016,-1.3682,2.3839,-2.8096,-72.748,6,30
